年月	費目	金額[円]
2023-04	給与収入	420000
2023-04	夫婦生活費	-180000
2023-04	子1生活費	-30000
2023-04	夫小遣い	-20000
2023-04	妻小遣い	-20000
2023-04	住宅ローン返済	-120000
2023-04	現金支出（明細なし）	-25000
2023-05	給与収入	420000
2023-05	夫婦生活費	-180000
2023-05	子1生活費	-30000
2023-05	夫小遣い	-20000
2023-05	妻小遣い	-20000
2023-05	住宅ローン返済	-120000
2023-05	現金支出（明細なし）	-25000
2023-06	給与収入	420000
2023-06	夫婦生活費	-180000
2023-06	子1生活費	-30000
2023-06	夫小遣い	-20000
2023-06	妻小遣い	-20000
2023-06	住宅ローン返済	-120000
2023-06	現金支出（明細なし）	-25000
2023-07	給与収入	420000
2023-07	夫婦生活費	-180000
2023-07	子1生活費	-30000
2023-07	夫小遣い	-20000
2023-07	妻小遣い	-20000
2023-07	住宅ローン返済	-120000
2023-07	現金支出（明細なし）	-25000
2023-08	給与収入	420000
2023-08	夫婦生活費	-180000
2023-08	子1生活費	-30000
2023-08	夫小遣い	-20000
2023-08	妻小遣い	-20000
2023-08	住宅ローン返済	-120000
2023-08	現金支出（明細なし）	-25000
2023-09	給与収入	420000
2023-09	夫婦生活費	-180000
2023-09	子1生活費	-30000
2023-09	夫小遣い	-20000
2023-09	妻小遣い	-20000
2023-09	住宅ローン返済	-120000
2023-09	現金支出（明細なし）	-25000
2023-10	給与収入	420000
2023-10	夫婦生活費	-180000
2023-10	子1生活費	-30000
2023-10	夫小遣い	-20000
2023-10	妻小遣い	-20000
2023-10	住宅ローン返済	-120000
2023-10	現金支出（明細なし）	-25000
2023-11	給与収入	420000
2023-11	夫婦生活費	-180000
2023-11	子1生活費	-30000
2023-11	夫小遣い	-20000
2023-11	妻小遣い	-20000
2023-11	住宅ローン返済	-120000
2023-11	現金支出（明細なし）	-25000
2023-12	給与収入	420000
2023-12	夫婦生活費	-180000
2023-12	子1生活費	-30000
2023-12	夫小遣い	-20000
2023-12	妻小遣い	-20000
2023-12	住宅ローン返済	-120000
2023-12	現金支出（明細なし）	-25000
2024-01	給与収入	420000
2024-01	夫婦生活費	-180000
2024-01	子1生活費	-30000
2024-01	夫小遣い	-20000
2024-01	妻小遣い	-20000
2024-01	住宅ローン返済	-120000
2024-01	現金支出（明細なし）	-25000
2024-02	給与収入	420000
2024-02	夫婦生活費	-180000
2024-02	子1生活費	-30000
2024-02	夫小遣い	-20000
2024-02	妻小遣い	-20000
2024-02	住宅ローン返済	-120000
2024-02	現金支出（明細なし）	-25000
2024-03	給与収入	420000
2024-03	夫婦生活費	-180000
2024-03	子1生活費	-30000
2024-03	夫小遣い	-20000
2024-03	妻小遣い	-20000
2024-03	住宅ローン返済	-120000
2024-03	現金支出（明細なし）	-25000
2024-04	給与収入	420000
2024-04	夫婦生活費	-180000
2024-04	子1生活費	-30000
2024-04	夫小遣い	-20000
2024-04	妻小遣い	-20000
2024-04	住宅ローン返済	-120000
2024-04	現金支出（明細なし）	-25000
2024-05	給与収入	420000
2024-05	夫婦生活費	-180000
2024-05	子1生活費	-30000
2024-05	夫小遣い	-20000
2024-05	妻小遣い	-20000
2024-05	住宅ローン返済	-120000
2024-05	現金支出（明細なし）	-25000
2024-06	給与収入	420000
2024-06	夫婦生活費	-180000
2024-06	子1生活費	-30000
2024-06	夫小遣い	-20000
2024-06	妻小遣い	-20000
2024-06	住宅ローン返済	-120000
2024-06	現金支出（明細なし）	-25000
2024-07	給与収入	420000
2024-07	夫婦生活費	-180000
2024-07	子1生活費	-30000
2024-07	夫小遣い	-20000
2024-07	妻小遣い	-20000
2024-07	住宅ローン返済	-120000
2024-07	現金支出（明細なし）	-25000
2024-08	給与収入	420000
2024-08	夫婦生活費	-180000
2024-08	子1生活費	-30000
2024-08	夫小遣い	-20000
2024-08	妻小遣い	-20000
2024-08	住宅ローン返済	-120000
2024-08	現金支出（明細なし）	-25000
2024-09	給与収入	420000
2024-09	夫婦生活費	-180000
2024-09	子1生活費	-30000
2024-09	夫小遣い	-20000
2024-09	妻小遣い	-20000
2024-09	住宅ローン返済	-120000
2024-09	現金支出（明細なし）	-25000
2024-10	給与収入	420000
2024-10	夫婦生活費	-180000
2024-10	子1生活費	-30000
2024-10	夫小遣い	-20000
2024-10	妻小遣い	-20000
2024-10	住宅ローン返済	-120000
2024-10	現金支出（明細なし）	-25000
2024-11	給与収入	420000
2024-11	夫婦生活費	-180000
2024-11	子1生活費	-30000
2024-11	夫小遣い	-20000
2024-11	妻小遣い	-20000
2024-11	住宅ローン返済	-120000
2024-11	現金支出（明細なし）	-25000
2024-12	給与収入	420000
2024-12	夫婦生活費	-180000
2024-12	子1生活費	-30000
2024-12	夫小遣い	-20000
2024-12	妻小遣い	-20000
2024-12	住宅ローン返済	-120000
2024-12	現金支出（明細なし）	-25000
2025-01	給与収入	420000
2025-01	夫婦生活費	-180000
2025-01	子1生活費	-30000
2025-01	夫小遣い	-20000
2025-01	妻小遣い	-20000
2025-01	住宅ローン返済	-120000
2025-01	現金支出（明細なし）	-25000
2025-02	給与収入	420000
2025-02	夫婦生活費	-180000
2025-02	子1生活費	-30000
2025-02	夫小遣い	-20000
2025-02	妻小遣い	-20000
2025-02	住宅ローン返済	-120000
2025-02	現金支出（明細なし）	-25000
2025-03	給与収入	420000
2025-03	夫婦生活費	-180000
2025-03	子1生活費	-30000
2025-03	夫小遣い	-20000
2025-03	妻小遣い	-20000
2025-03	住宅ローン返済	-120000
2025-03	現金支出（明細なし）	-25000
2025-04	給与収入	420000
2025-04	夫婦生活費	-180000
2025-04	子1生活費	-30000
2025-04	夫小遣い	-20000
2025-04	妻小遣い	-20000
2025-04	住宅ローン返済	-120000
2025-04	現金支出（明細なし）	-25000
2025-05	給与収入	420000
2025-05	夫婦生活費	-180000
2025-05	子1生活費	-30000
2025-05	夫小遣い	-20000
2025-05	妻小遣い	-20000
2025-05	住宅ローン返済	-120000
2025-05	現金支出（明細なし）	-25000
2025-06	給与収入	420000
2025-06	夫婦生活費	-180000
2025-06	子1生活費	-30000
2025-06	夫小遣い	-20000
2025-06	妻小遣い	-20000
2025-06	住宅ローン返済	-120000
2025-06	現金支出（明細なし）	-25000
2025-07	給与収入	420000
2025-07	夫婦生活費	-180000
2025-07	子1生活費	-30000
2025-07	夫小遣い	-20000
2025-07	妻小遣い	-20000
2025-07	住宅ローン返済	-120000
2025-07	現金支出（明細なし）	-25000
2025-08	給与収入	420000
2025-08	夫婦生活費	-180000
2025-08	子1生活費	-30000
2025-08	夫小遣い	-20000
2025-08	妻小遣い	-20000
2025-08	住宅ローン返済	-120000
2025-08	現金支出（明細なし）	-25000
2025-09	給与収入	420000
2025-09	夫婦生活費	-180000
2025-09	子1生活費	-30000
2025-09	夫小遣い	-20000
2025-09	妻小遣い	-20000
2025-09	住宅ローン返済	-120000
2025-09	現金支出（明細なし）	-25000
2025-10	給与収入	420000
2025-10	夫婦生活費	-180000
2025-10	子1生活費	-30000
2025-10	夫小遣い	-20000
2025-10	妻小遣い	-20000
2025-10	住宅ローン返済	-120000
2025-10	現金支出（明細なし）	-25000
2025-11	給与収入	420000
2025-11	夫婦生活費	-180000
2025-11	子1生活費	-30000
2025-11	夫小遣い	-20000
2025-11	妻小遣い	-20000
2025-11	住宅ローン返済	-120000
2025-11	現金支出（明細なし）	-25000
2025-12	給与収入	420000
2025-12	夫婦生活費	-180000
2025-12	子1生活費	-30000
2025-12	夫小遣い	-20000
2025-12	妻小遣い	-20000
2025-12	住宅ローン返済	-120000
2025-12	現金支出（明細なし）	-25000
